Global_reactive_power,Global_intensity
0.418,18.4
0.436,23
0.498,23
0.502,23
0.528,15.8
0.522,15
0.52,15.8
0.52,15.8
0.51,15.8
0.51,15.8
0.498,19.6
0.47,23.2
0.478,22.4
0.398,22.6
0.422,17.6
0.282,14.2
0.152,13.8
0.156,14.4
0,13.8
0,16.4
0,25.4
0,33.2
0,30.6
0,22
0,19.4
0,13.6
0,13.6
0,13.6
0,13.8
0,13.4
0,11.6
0.076,16.4
0.09,18.4
0,19.2
0.2,17.6
0.058,10.4
0.18,11.8
0.144,11
0.118,11.6
0.108,16.4
0.202,21
0.192,26.2
0.186,29
0.144,27.8
0.116,27
0.136,19
0.148,15
0.152,13.8
0.144,16.4
0.16,9.6
0.158,10
0.1,21.4
0.076,19.6
0.082,17.8
0,19.2
0,12
0,12.4
0,12.4
0,12.4
0,12.4
0,15.2
0,20.8
0,20.8
0,20.8
0,13.8
0,12.4
0,12.4
0.05,12.4
0.052,11
0.162,11.6
0.086,15.6
0,26.4
0,19.4
0,18.8
0.048,13
0.054,9.8
0.054,9.6
0.054,9.6
0.054,9.6
0.068,9.2
0.166,13.2
0.174,17.8
0.186,17.8
0.178,18
0.188,12
0.088,10.8
0.08,10.6
0.07,10
0,9.8
0,10.6
0,18.4
0.09,18.2
0.09,18.2
0.084,17
0.09,18
0.09,18.2
0.088,17.4
0.09,15.6
0.09,14.8
0.09,14.8
0,14.4
0.082,14.6
0.074,14.4
0.106,15.4
0.092,14.8
0.064,14.4
0,14.4
0,14.4
0,14.6
0,14.6
0,14.4
0,14.4
0,14.4
0,14.4
0,14.6
0,14.4
0.052,14.6
0,14.2
0.046,14
0,14.2
0.052,14
0.064,14.8
0.09,15.4
0.084,15.2
0.138,15.4
0.192,15.4
0.162,14.4
0.134,14.4
0.132,14.4
0.132,14.4
0.12,14.4
0,14
0,14
0.13,14.4
0.16,14.6
0.158,14.6
0.158,14.6
0.158,14.6
0.156,14.4
0.154,14.4
0.154,14.4
0.152,14.4
0.152,14.4
0.154,14.4
0.156,14.4
0.16,14.4
0.156,14.4
0.158,14.4
0.156,14.4
0,13.8
0.078,13.8
0.078,13.8
0.078,13.8
0.078,13.8
0.078,13.8
0.078,13.8
0.078,13.8
0.078,13.8
0.076,13.8
0.078,13.8
0.078,13.6
0,14
0,14
0,14
0,14
0.08,14.4
0.144,14.6
0.142,14.6
0.14,14.4
0.14,14.4
0.14,14.4
0.086,14.4
0,14.2
0,14.2
0,14.2
0,14.2
0,14.2
0,14
0,14
0,14
0,14
0.052,13.8
0.078,13.8
0.076,13.8
0.076,13.8
0.076,13.8
0.076,13.8
0.076,13.8
0.076,13.8
0.078,13.8
0.078,13.8
0.078,13.8
0.078,13.6
0.08,13.6
0.08,13.6
0.078,13.6
0.078,13.8
0.074,13.8
0.05,14.4
0.048,14.2
0.048,14.2
0.05,14.2
0.146,14.8
0.146,14.6
0.148,14.6
0.146,14.6
0.15,14.6
0.15,14.6
0.154,14.6
0.152,14.6
0.15,14.6
0.17,8.4
0.102,9.4
0,14
0.074,13.8
0.074,14
0.072,14
0.072,13.8
0.054,7.8
0.07,14
0.07,14
0.072,14
0.072,14
0.064,12
0.06,10
0.07,14
0.07,14
0.072,14
0.072,13.2
0.058,8.2
0,14.2
0.052,14.4
0.054,14.4
0.054,14.4
0.074,8.6
0.056,14.4
0.054,14.4
0.056,14.4
0.068,11.4
0.062,12.4
0.054,14.4
0.052,14.2
0.06,12.6
0.112,8.4
0.144,14.6
0,14.2
0,13.8
0,9
0,14.2
0,14.2
0,14.2
0,8.6
0,13.6
0,14
0.072,14
0.072,13.8
0.064,10.8
0.046,11.8
0,14.2
0,14.2
0.046,14.4
0.066,8.4
0.082,13.8
0.172,14.8
0.17,14.6
0.168,14.6
0.194,7.6
0.17,14.8
0.17,14.6
0.17,14.6
0.168,14.6
0.184,10.6
0.178,12.8
0.17,14.6
0.17,14.6
0.168,14.6
0.17,14.6
0.096,8.2
0,13.6
0,14.2
0,14.2
0,14.2
0,13.4
0.056,7.4
0,14.2
0,14.2
0,14.2
0,12.4
0,10
0,14.2
0,14
0,12
0,9.8
0.054,5.6
0,7.8
0,9.8
0.068,10
0.072,9.2
0.09,4.6
0.068,10
0.066,10
0.07,10
0.084,7.6
0.086,7.2
0.07,10
0.072,10
0.07,10
0.1,1.6
0.074,9.6
0.07,10
0.052,9.6
0.054,8.6
0,2.4
0.06,9.6
0.06,9.6
0.062,9.6
0.064,9.6
0,2.8
0.05,7.8
0.062,9.6
0.062,9.6
0.06,9.6
0.054,8.4
0,1.2
0.06,9.8
0,10
0,10
0,10
0.086,4.4
0.178,7.4
0.162,10.4
0.164,10.4
0.168,10.4
0.182,8.6
0.2,4
0.094,10.2
0.068,10
0.07,10
0.072,9.4
0.1,1.6
0.076,9.2
0.068,10
0.07,10
0,9.6
0.046,6.8
0,5.2
0.06,9.6
0.06,9.6
0.06,9.6
